input_gene_symbol	normalized_gene_symbol	gene_id	gene_namespace	ensembl_gene_id	hgnc_id	entrezgene	alias_symbol	mapping_status	mapping_source	mapping_version
A2ML1	A2ML1	ENSG00000166535	ensembl_gene	ENSG00000166535	23336	144568	CPAMD9|OMS|p170	resolved	mygene.info	pinned_local_build
AAAS	AAAS	ENSG00000291836	ensembl_gene	ENSG00000291836	13666	8086	AAA|AAASb|ADRACALA|ADRACALIN|ALADIN|GL003	resolved	mygene.info	pinned_local_build
AARS1	AARS1	ENSG00000090861	ensembl_gene	ENSG00000090861	20	16	AARS|CMT2N|DEE29|EIEE29|HDLS2|TTD8	resolved	mygene.info	pinned_local_build
AARS2	AARS2	ENSG00000124608	ensembl_gene	ENSG00000124608	21022	57505	AARSL|COXPD8|LKENP|MT-ALARS|MTALARS	resolved	mygene.info	pinned_local_build
AASS	AASS	ENSG00000008311	ensembl_gene	ENSG00000008311	17366	10157	LKR/SDH|LKRSDH|LORSDH	resolved	mygene.info	pinned_local_build
ABAT	ABAT	ENSG00000183044	ensembl_gene	ENSG00000183044	23	18	GABA-AT|GABAT|NPD009	resolved	mygene.info	pinned_local_build
ABCA1	ABCA1	ENSG00000165029	ensembl_gene	ENSG00000165029	29	19	ABC-1|ABC1|CERP|HDLCQTL13|HDLDT1|HPALP1|TGD	resolved	mygene.info	pinned_local_build
ABCA12	ABCA12	ENSG00000144452	ensembl_gene	ENSG00000144452	14637	26154	ARCI4A|ARCI4B|ICR2B|LI2	resolved	mygene.info	pinned_local_build
ABCA2	ABCA2	ENSG00000107331	ensembl_gene	ENSG00000107331	32	20	ABC2|IDPOGSA	resolved	mygene.info	pinned_local_build
ABCA3	ABCA3	ENSG00000167972	ensembl_gene	ENSG00000167972	33	21	ABC-C|ABC3|EST111653|LBM180|SMDP3	resolved	mygene.info	pinned_local_build
ABCA5	ABCA5	ENSG00000154265	ensembl_gene	ENSG00000154265	35	23461	ABC13|DEL17q24|EST90625|HTC3|HTGH	resolved	mygene.info	pinned_local_build
ABCA7	ABCA7	ENSG00000064687	ensembl_gene	ENSG00000064687	37	10347	ABCA-SSN|ABCX|AD9	resolved	mygene.info	pinned_local_build
ABCB11	ABCB11	ENSG00000276582	ensembl_gene	ENSG00000276582	42	8647	ABC16|BRIC2|BSEP|PFIC-2|PFIC2|PGY4|SPGP	resolved	mygene.info	pinned_local_build
ABCB4	ABCB4	ENSG00000005471	ensembl_gene	ENSG00000005471	45	5244	ABC21|GBD1|ICP3|MDR2|MDR2/3|MDR3|PFIC-3|PGY3	resolved	mygene.info	pinned_local_build
ABCB7	ABCB7	ENSG00000131269	ensembl_gene	ENSG00000131269	48	22	ABC7|ASAT|Atm1p|EST140535	resolved	mygene.info	pinned_local_build
ABCC6	ABCC6	ENSG00000091262	ensembl_gene	ENSG00000091262	57	368	ABC34|ARA|EST349056|GACI2|MLP1|MOAT-E|MOATE|MRP6|PXE|PXE1|URG7	resolved	mygene.info	pinned_local_build
ABCC8	ABCC8	ENSG00000006071	ensembl_gene	ENSG00000006071	59	6833	ABC36|HHF1|HI|HRINS|MODY12|MRP8|PHHI|PNDM3|SUR|SUR1|SUR1delta2|TNDM2	resolved	mygene.info	pinned_local_build
ABCC9	ABCC9	ENSG00000069431	ensembl_gene	ENSG00000069431	60	10060	ABC37|ATFB12|CANTU|CMD1O|IDMYS|SUR2	resolved	mygene.info	pinned_local_build
ABCD1	ABCD1	ENSG00000101986	ensembl_gene	ENSG00000101986	61	215	ABC42|ALD|ALDP|AMN	resolved	mygene.info	pinned_local_build
ABCD3	ABCD3	ENSG00000117528	ensembl_gene	ENSG00000117528	67	5825	ABC43|CBAS5|OPDM5|PMP70|PXMP1|ZWS2	resolved	mygene.info	pinned_local_build
ABCD4	ABCD4	ENSG00000119688	ensembl_gene	ENSG00000119688	68	5826	ABC41|EST352188|MAHCJ|P70R|P79R|PMP69|PXMP1L	resolved	mygene.info	pinned_local_build
ABCG5	ABCG5	ENSG00000138075	ensembl_gene	ENSG00000138075	13886	64240	STSL|STSL2	resolved	mygene.info	pinned_local_build
ABCG8	ABCG8	ENSG00000143921	ensembl_gene	ENSG00000143921	13887	64241	GBD4|STSL|STSL1	resolved	mygene.info	pinned_local_build
