phenotype	gene_id	gene_namespace	gene_symbol	consensus_score	semantic_consensus_score	direct_disease_score	clinical_interpretation_score	contextual_biology_score	utilization_score	exploratory_score	convergence_score	conflict_penalty	source_count	weighted_source_sum	source_list	weight_tier_summary	evidence_semantics_summary	evidence_tier_summary	semantic_channel_summary	mapping_status_summary	scoring_profile	active_score	score_explanation	provenance_id	run_id	gsc_version	generated_at
epilepsy	ENSG00000100150	ensembl_gene	DEPDC5	6.0	5.75	4.0	0.0	0.0	1.0	0.75	0.0	0.0	3	6.0	epi25_2024_epi_high_confidence|genes4epilepsy|gtr_epilepsy_gene_summary	bronze|gold|silver	clinical_utilization|exploratory_literature|statistical_association	bronze|platinum|silver	clinical_utilization|direct_disease|exploratory_literature	resolved	epilepsy_semantic_v0.1	weighted_source_sum	direct_disease_score=4;utilization_score=1;exploratory_score=0.75	50fb3c1d77008c01	run_2026_06_22_184534	0.1.0	2026-06-22T18:45:40
epilepsy	ENSG00000050030	ensembl_gene	NEXMIF	6.0	5.75	4.0	0.0	0.0	1.0	0.75	0.0	0.0	3	6.0	epi25_2024_epi_high_confidence|genes4epilepsy|gtr_epilepsy_gene_summary	bronze|gold|silver	clinical_utilization|exploratory_literature|statistical_association	bronze|platinum|silver	clinical_utilization|direct_disease|exploratory_literature	resolved	epilepsy_semantic_v0.1	weighted_source_sum	direct_disease_score=4;utilization_score=1;exploratory_score=0.75	e6fe7078c08ee7fb	run_2026_06_22_184534	0.1.0	2026-06-22T18:45:40
epilepsy	ENSG00000103148	ensembl_gene	NPRL3	6.0	5.75	4.0	0.0	0.0	1.0	0.75	0.0	0.0	3	6.0	epi25_2024_epi_high_confidence|genes4epilepsy|gtr_epilepsy_gene_summary	bronze|gold|silver	clinical_utilization|exploratory_literature|statistical_association	bronze|platinum|silver	clinical_utilization|direct_disease|exploratory_literature	resolved	epilepsy_semantic_v0.1	weighted_source_sum	direct_disease_score=4;utilization_score=1;exploratory_score=0.75	e9b90859a01d9066	run_2026_06_22_184534	0.1.0	2026-06-22T18:45:40
epilepsy	ENSG00000144285	ensembl_gene	SCN1A	6.0	5.75	4.0	0.0	0.0	1.0	0.75	0.0	0.0	3	6.0	epi25_2024_epi_high_confidence|genes4epilepsy|gtr_epilepsy_gene_summary	bronze|gold|silver	clinical_utilization|exploratory_literature|statistical_association	bronze|platinum|silver	clinical_utilization|direct_disease|exploratory_literature	resolved	epilepsy_semantic_v0.1	weighted_source_sum	direct_disease_score=4;utilization_score=1;exploratory_score=0.75	b9bff58ea0611f8f	run_2026_06_22_184534	0.1.0	2026-06-22T18:45:40
epilepsy	ENSG00000099365	ensembl_gene	STX1B	6.0	5.75	4.0	0.0	0.0	1.0	0.75	0.0	0.0	3	6.0	epi25_2024_epi_high_confidence|genes4epilepsy|gtr_epilepsy_gene_summary	bronze|gold|silver	clinical_utilization|exploratory_literature|statistical_association	bronze|platinum|silver	clinical_utilization|direct_disease|exploratory_literature	resolved	epilepsy_semantic_v0.1	weighted_source_sum	direct_disease_score=4;utilization_score=1;exploratory_score=0.75	8974c769fe26c680	run_2026_06_22_184534	0.1.0	2026-06-22T18:45:40
epilepsy	ENSG00000197283	ensembl_gene	SYNGAP1	6.0	5.75	4.0	0.0	0.0	1.0	0.75	0.0	0.0	3	6.0	epi25_2024_epi_high_confidence|genes4epilepsy|gtr_epilepsy_gene_summary	bronze|gold|silver	clinical_utilization|exploratory_literature|statistical_association	bronze|platinum|silver	clinical_utilization|direct_disease|exploratory_literature	resolved	epilepsy_semantic_v0.1	weighted_source_sum	direct_disease_score=4;utilization_score=1;exploratory_score=0.75	b79175a17ddb7f33	run_2026_06_22_184534	0.1.0	2026-06-22T18:45:40
epilepsy	ENSG00000292221	ensembl_gene	WDR45	6.0	5.75	4.0	0.0	0.0	1.0	0.75	0.0	0.0	3	6.0	epi25_2024_epi_high_confidence|genes4epilepsy|gtr_epilepsy_gene_summary	bronze|gold|silver	clinical_utilization|exploratory_literature|statistical_association	bronze|platinum|silver	clinical_utilization|direct_disease|exploratory_literature	resolved	epilepsy_semantic_v0.1	weighted_source_sum	direct_disease_score=4;utilization_score=1;exploratory_score=0.75	fbc5e489b2ccefd7	run_2026_06_22_184534	0.1.0	2026-06-22T18:45:40
epilepsy	ENSG00000090861	ensembl_gene	AARS1	3.0	1.75	0.0	0.0	0.0	1.0	0.75	0.0	0.0	2	3.0	genes4epilepsy|gtr_epilepsy_gene_summary	bronze|silver	clinical_utilization|exploratory_literature	bronze|silver	clinical_utilization|exploratory_literature	resolved	epilepsy_semantic_v0.1	weighted_source_sum	utilization_score=1;exploratory_score=0.75	1f95ecaccb7d19c9	run_2026_06_22_184534	0.1.0	2026-06-22T18:45:40
epilepsy	ENSG00000124608	ensembl_gene	AARS2	3.0	1.75	0.0	0.0	0.0	1.0	0.75	0.0	0.0	2	3.0	genes4epilepsy|gtr_epilepsy_gene_summary	bronze|silver	clinical_utilization|exploratory_literature	bronze|silver	clinical_utilization|exploratory_literature	resolved	epilepsy_semantic_v0.1	weighted_source_sum	utilization_score=1;exploratory_score=0.75	8fe4f9a1936a5f7b	run_2026_06_22_184534	0.1.0	2026-06-22T18:45:40
epilepsy	ENSG00000183044	ensembl_gene	ABAT	3.0	1.75	0.0	0.0	0.0	1.0	0.75	0.0	0.0	2	3.0	genes4epilepsy|gtr_epilepsy_gene_summary	bronze|silver	clinical_utilization|exploratory_literature	bronze|silver	clinical_utilization|exploratory_literature	resolved	epilepsy_semantic_v0.1	weighted_source_sum	utilization_score=1;exploratory_score=0.75	574469296098904c	run_2026_06_22_184534	0.1.0	2026-06-22T18:45:40
epilepsy	ENSG00000069431	ensembl_gene	ABCC9	3.0	1.75	0.0	0.0	0.0	1.0	0.75	0.0	0.0	2	3.0	genes4epilepsy|gtr_epilepsy_gene_summary	bronze|silver	clinical_utilization|exploratory_literature	bronze|silver	clinical_utilization|exploratory_literature	resolved	epilepsy_semantic_v0.1	weighted_source_sum	utilization_score=1;exploratory_score=0.75	dd525b0f07348c7a	run_2026_06_22_184534	0.1.0	2026-06-22T18:45:40
epilepsy	ENSG00000161533	ensembl_gene	ACOX1	3.0	1.75	0.0	0.0	0.0	1.0	0.75	0.0	0.0	2	3.0	genes4epilepsy|gtr_epilepsy_gene_summary	bronze|silver	clinical_utilization|exploratory_literature	bronze|silver	clinical_utilization|exploratory_literature	resolved	epilepsy_semantic_v0.1	weighted_source_sum	utilization_score=1;exploratory_score=0.75	dd729053d67050b5	run_2026_06_22_184534	0.1.0	2026-06-22T18:45:40
epilepsy	ENSG00000075624	ensembl_gene	ACTB	3.0	1.75	0.0	0.0	0.0	1.0	0.75	0.0	0.0	2	3.0	genes4epilepsy|gtr_epilepsy_gene_summary	bronze|silver	clinical_utilization|exploratory_literature	bronze|silver	clinical_utilization|exploratory_literature	resolved	epilepsy_semantic_v0.1	weighted_source_sum	utilization_score=1;exploratory_score=0.75	c15f9c52ef622d43	run_2026_06_22_184534	0.1.0	2026-06-22T18:45:40
epilepsy	ENSG00000291420	ensembl_gene	ACTG1	3.0	1.75	0.0	0.0	0.0	1.0	0.75	0.0	0.0	2	3.0	genes4epilepsy|gtr_epilepsy_gene_summary	bronze|silver	clinical_utilization|exploratory_literature	bronze|silver	clinical_utilization|exploratory_literature	resolved	epilepsy_semantic_v0.1	weighted_source_sum	utilization_score=1;exploratory_score=0.75	0b3e30450ab6f6a6	run_2026_06_22_184534	0.1.0	2026-06-22T18:45:40
epilepsy	ENSG00000077080	ensembl_gene	ACTL6B	3.0	1.75	0.0	0.0	0.0	1.0	0.75	0.0	0.0	2	3.0	genes4epilepsy|gtr_epilepsy_gene_summary	bronze|silver	clinical_utilization|exploratory_literature	bronze|silver	clinical_utilization|exploratory_literature	resolved	epilepsy_semantic_v0.1	weighted_source_sum	utilization_score=1;exploratory_score=0.75	8c560161b4703b77	run_2026_06_22_184534	0.1.0	2026-06-22T18:45:40
epilepsy	ENSG00000243989	ensembl_gene	ACY1	3.0	1.75	0.0	0.0	0.0	1.0	0.75	0.0	0.0	2	3.0	genes4epilepsy|gtr_epilepsy_gene_summary	bronze|silver	clinical_utilization|exploratory_literature	bronze|silver	clinical_utilization|exploratory_literature	resolved	epilepsy_semantic_v0.1	weighted_source_sum	utilization_score=1;exploratory_score=0.75	b94851b49e6a9ebe	run_2026_06_22_184534	0.1.0	2026-06-22T18:45:40
