provenance_id	phenotype	source_gene_id	source_gene_namespace	gene_id	gene_namespace	gene_symbol	source_id	source_name	source_type	source_weight	weight_tier	input_gene_symbol	mapping_status	evidence_label	source_row_number	source_record_hash
ad9ffbdf49919d09	epilepsy	144568	ncbi_gene	ENSG00000166535	ensembl_gene	A2ML1	gtr_epilepsy_gene_summary	GTR epilepsy gene summary	gtr_gene_summary	2.0	silver	A2ML1	resolved	gtr_clinical_testing_utilization	1458	b783c15ec0597cb7
aeb2b1b55fb78ab7	epilepsy	8086	ncbi_gene	ENSG00000291836	ensembl_gene	AAAS	gtr_epilepsy_gene_summary	GTR epilepsy gene summary	gtr_gene_summary	2.0	silver	AAAS	resolved	gtr_clinical_testing_utilization	1102	c5b10ebe017d7c2d
1f95ecaccb7d19c9	epilepsy	16	ncbi_gene	ENSG00000090861	ensembl_gene	AARS1	genes4epilepsy	Genes4Epilepsy	literature_derived	1.0	bronze	AARS1	resolved		1	d2ae1bddb685e876
1f95ecaccb7d19c9	epilepsy	16	ncbi_gene	ENSG00000090861	ensembl_gene	AARS1	gtr_epilepsy_gene_summary	GTR epilepsy gene summary	gtr_gene_summary	2.0	silver	AARS1	resolved	gtr_clinical_testing_utilization	137	a1af4cef3edb547d
8fe4f9a1936a5f7b	epilepsy	57505	ncbi_gene	ENSG00000124608	ensembl_gene	AARS2	genes4epilepsy	Genes4Epilepsy	literature_derived	1.0	bronze	AARS2	resolved		2	841e1afaac5d5380
8fe4f9a1936a5f7b	epilepsy	57505	ncbi_gene	ENSG00000124608	ensembl_gene	AARS2	gtr_epilepsy_gene_summary	GTR epilepsy gene summary	gtr_gene_summary	2.0	silver	AARS2	resolved	gtr_clinical_testing_utilization	857	1de956824686219f
ab88e5bdbc00e567	epilepsy	10157	ncbi_gene	ENSG00000008311	ensembl_gene	AASS	gtr_epilepsy_gene_summary	GTR epilepsy gene summary	gtr_gene_summary	2.0	silver	AASS	resolved	gtr_clinical_testing_utilization	1595	cfd616376e0b7c7b
574469296098904c	epilepsy	18	ncbi_gene	ENSG00000183044	ensembl_gene	ABAT	genes4epilepsy	Genes4Epilepsy	literature_derived	1.0	bronze	ABAT	resolved		3	d5de1a34f2390c6b
574469296098904c	epilepsy	18	ncbi_gene	ENSG00000183044	ensembl_gene	ABAT	gtr_epilepsy_gene_summary	GTR epilepsy gene summary	gtr_gene_summary	2.0	silver	ABAT	resolved	gtr_clinical_testing_utilization	683	a83d4a5b1a4b479e
25670747651359f3	epilepsy	19	ncbi_gene	ENSG00000165029	ensembl_gene	ABCA1	gtr_epilepsy_gene_summary	GTR epilepsy gene summary	gtr_gene_summary	2.0	silver	ABCA1	resolved	gtr_clinical_testing_utilization	1232	92bb2eee7cd0a203
8a0b3080aa861265	epilepsy	26154	ncbi_gene	ENSG00000144452	ensembl_gene	ABCA12	gtr_epilepsy_gene_summary	GTR epilepsy gene summary	gtr_gene_summary	2.0	silver	ABCA12	resolved	gtr_clinical_testing_utilization	2119	9ffb9d9d25e15505
0350b8df5e5f00cb	epilepsy	20	ncbi_gene	ENSG00000107331	ensembl_gene	ABCA2	genes4epilepsy	Genes4Epilepsy	literature_derived	1.0	bronze	ABCA2	resolved		4	cb5839096fa1b773
7b0ddc688743f315	epilepsy	21	ncbi_gene	ENSG00000167972	ensembl_gene	ABCA3	gtr_epilepsy_gene_summary	GTR epilepsy gene summary	gtr_gene_summary	2.0	silver	ABCA3	resolved	gtr_clinical_testing_utilization	2049	31fae5fe54e022d8
b2341b82a4a04119	epilepsy	23461	ncbi_gene	ENSG00000154265	ensembl_gene	ABCA5	gtr_epilepsy_gene_summary	GTR epilepsy gene summary	gtr_gene_summary	2.0	silver	ABCA5	resolved	gtr_clinical_testing_utilization	2917	13c713b4c21ebee6
b30a02a179502d64	epilepsy	10347	ncbi_gene	ENSG00000064687	ensembl_gene	ABCA7	gtr_epilepsy_gene_summary	GTR epilepsy gene summary	gtr_gene_summary	2.0	silver	ABCA7	resolved	gtr_clinical_testing_utilization	1931	11761a88689bce06
d41a2940b74a4290	epilepsy	8647	ncbi_gene	ENSG00000276582	ensembl_gene	ABCB11	gtr_epilepsy_gene_summary	GTR epilepsy gene summary	gtr_gene_summary	2.0	silver	ABCB11	resolved	gtr_clinical_testing_utilization	1483	d5a73fe5329780aa
