phenotype	gene_id	gene_namespace	normalized_gene_symbol	epi25_2024_epi_high_confidence	genes4epilepsy	gtr_epilepsy_gene_summary	source_count	weighted_source_sum
epilepsy	ENSG00000100150	ensembl_gene	DEPDC5	1	1	1	3	6.0
epilepsy	ENSG00000050030	ensembl_gene	NEXMIF	1	1	1	3	6.0
epilepsy	ENSG00000103148	ensembl_gene	NPRL3	1	1	1	3	6.0
epilepsy	ENSG00000144285	ensembl_gene	SCN1A	1	1	1	3	6.0
epilepsy	ENSG00000099365	ensembl_gene	STX1B	1	1	1	3	6.0
epilepsy	ENSG00000197283	ensembl_gene	SYNGAP1	1	1	1	3	6.0
epilepsy	ENSG00000292221	ensembl_gene	WDR45	1	1	1	3	6.0
epilepsy	ENSG00000090861	ensembl_gene	AARS1	0	1	1	2	3.0
epilepsy	ENSG00000124608	ensembl_gene	AARS2	0	1	1	2	3.0
epilepsy	ENSG00000183044	ensembl_gene	ABAT	0	1	1	2	3.0
epilepsy	ENSG00000069431	ensembl_gene	ABCC9	0	1	1	2	3.0
epilepsy	ENSG00000161533	ensembl_gene	ACOX1	0	1	1	2	3.0
epilepsy	ENSG00000075624	ensembl_gene	ACTB	0	1	1	2	3.0
epilepsy	ENSG00000291420	ensembl_gene	ACTG1	0	1	1	2	3.0
epilepsy	ENSG00000077080	ensembl_gene	ACTL6B	0	1	1	2	3.0
epilepsy	ENSG00000243989	ensembl_gene	ACY1	0	1	1	2	3.0
epilepsy	ENSG00000008277	ensembl_gene	ADAM22	0	1	1	2	3.0
epilepsy	ENSG00000160710	ensembl_gene	ADAR	0	1	1	2	3.0
epilepsy	ENSG00000197381	ensembl_gene	ADARB1	0	1	1	2	3.0
epilepsy	ENSG00000213638	ensembl_gene	ADAT3	0	1	1	2	3.0
epilepsy	ENSG00000173175	ensembl_gene	ADCY5	0	1	1	2	3.0
epilepsy	ENSG00000205336	ensembl_gene	ADGRG1	0	1	1	2	3.0
epilepsy	ENSG00000101126	ensembl_gene	ADNP	0	1	1	2	3.0
epilepsy	ENSG00000116863	ensembl_gene	ADPRS	0	1	1	2	3.0
epilepsy	ENSG00000239900	ensembl_gene	ADSL	0	1	1	2	3.0
epilepsy	ENSG00000144218	ensembl_gene	AFF3	0	1	1	2	3.0
epilepsy	ENSG00000145375	ensembl_gene	AFG2A	0	1	1	2	3.0
epilepsy	ENSG00000141385	ensembl_gene	AFG3L2	0	1	1	2	3.0
epilepsy	ENSG00000038002	ensembl_gene	AGA	0	1	1	2	3.0
epilepsy	ENSG00000187546	ensembl_gene	AGMO	0	1	1	2	3.0
epilepsy	ENSG00000092847	ensembl_gene	AGO1	0	1	1	2	3.0
epilepsy	ENSG00000164022	ensembl_gene	AIMP1	0	1	1	2	3.0
epilepsy	ENSG00000142208	ensembl_gene	AKT1	0	1	1	2	3.0
epilepsy	ENSG00000117020	ensembl_gene	AKT3	0	1	1	2	3.0
epilepsy	ENSG00000072210	ensembl_gene	ALDH3A2	0	1	1	2	3.0
epilepsy	ENSG00000112294	ensembl_gene	ALDH5A1	0	1	1	2	3.0
