phenotype	gene_id	gene_namespace	gene_symbol	consensus_score	semantic_consensus_score	direct_disease_score	clinical_interpretation_score	contextual_biology_score	utilization_score	exploratory_score	convergence_score	conflict_penalty	source_count	weighted_source_sum	source_list	weight_tier_summary	evidence_semantics_summary	evidence_tier_summary	semantic_channel_summary	mapping_status_summary	scoring_profile	active_score	score_explanation	provenance_id	run_id	gsc_version	generated_at
mitochondrial_disease	ENSG00000115204	ensembl_gene	MPV17	5.0	3.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	2	5.0	gtr_mitochondrial_gene_summary|mitocarta_human	gold|silver	clinical_utilization|functional_localization	gold|silver	clinical_utilization|contextual_biology	resolved	mitochondrial_semantic_v0.1	weighted_source_sum	contextual_biology_score=2;utilization_score=1	f5487792705b9891	run_2026_06_23_015533	0.1.0	2026-06-23T01:55:38
mitochondrial_disease	ENSG00000198836	ensembl_gene	OPA1	5.0	3.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	2	5.0	gtr_mitochondrial_gene_summary|mitocarta_human	gold|silver	clinical_utilization|functional_localization	gold|silver	clinical_utilization|contextual_biology	resolved	mitochondrial_semantic_v0.1	weighted_source_sum	contextual_biology_score=2;utilization_score=1	45b6b0524310042c	run_2026_06_23_015533	0.1.0	2026-06-23T01:55:38
mitochondrial_disease	ENSG00000140521	ensembl_gene	POLG	5.0	3.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	2	5.0	gtr_mitochondrial_gene_summary|mitocarta_human	gold|silver	clinical_utilization|functional_localization	gold|silver	clinical_utilization|contextual_biology	resolved	mitochondrial_semantic_v0.1	weighted_source_sum	contextual_biology_score=2;utilization_score=1	3c93f4c75887262d	run_2026_06_23_015533	0.1.0	2026-06-23T01:55:38
mitochondrial_disease	ENSG00000107815	ensembl_gene	TWNK	5.0	3.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	2	5.0	gtr_mitochondrial_gene_summary|mitocarta_human	gold|silver	clinical_utilization|functional_localization	gold|silver	clinical_utilization|contextual_biology	resolved	mitochondrial_semantic_v0.1	weighted_source_sum	contextual_biology_score=2;utilization_score=1	81ea7d43d47ed6d0	run_2026_06_23_015533	0.1.0	2026-06-23T01:55:38
mitochondrial_disease	ENSG00000109576	ensembl_gene	AADAT	3.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	mitochondrial_semantic_v0.1	weighted_source_sum	contextual_biology_score=2	f0c81b031713d920	run_2026_06_23_015533	0.1.0	2026-06-23T01:55:38
mitochondrial_disease	ENSG00000124608	ensembl_gene	AARS2	3.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	mitochondrial_semantic_v0.1	weighted_source_sum	contextual_biology_score=2	c615860b17f3c5a5	run_2026_06_23_015533	0.1.0	2026-06-23T01:55:38
mitochondrial_disease	ENSG00000008311	ensembl_gene	AASS	3.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	mitochondrial_semantic_v0.1	weighted_source_sum	contextual_biology_score=2	392accd257c60b6e	run_2026_06_23_015533	0.1.0	2026-06-23T01:55:38
mitochondrial_disease	ENSG00000183044	ensembl_gene	ABAT	3.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	mitochondrial_semantic_v0.1	weighted_source_sum	contextual_biology_score=2	432df2ccda0d9522	run_2026_06_23_015533	0.1.0	2026-06-23T01:55:38
mitochondrial_disease	ENSG00000154258	ensembl_gene	ABCA9	3.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	mitochondrial_semantic_v0.1	weighted_source_sum	contextual_biology_score=2	a49d82251917fff3	run_2026_06_23_015533	0.1.0	2026-06-23T01:55:38
mitochondrial_disease	ENSG00000135776	ensembl_gene	ABCB10	3.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	mitochondrial_semantic_v0.1	weighted_source_sum	contextual_biology_score=2	f0587dde6d34ed4e	run_2026_06_23_015533	0.1.0	2026-06-23T01:55:38
mitochondrial_disease	ENSG00000115657	ensembl_gene	ABCB6	3.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	mitochondrial_semantic_v0.1	weighted_source_sum	contextual_biology_score=2	49a0738f41004f80	run_2026_06_23_015533	0.1.0	2026-06-23T01:55:38
mitochondrial_disease	ENSG00000131269	ensembl_gene	ABCB7	3.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	mitochondrial_semantic_v0.1	weighted_source_sum	contextual_biology_score=2	fefecc66c35707d0	run_2026_06_23_015533	0.1.0	2026-06-23T01:55:38
mitochondrial_disease	ENSG00000197150	ensembl_gene	ABCB8	3.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	mitochondrial_semantic_v0.1	weighted_source_sum	contextual_biology_score=2	9e0ff3c3ee54efa3	run_2026_06_23_015533	0.1.0	2026-06-23T01:55:38
mitochondrial_disease	ENSG00000101986	ensembl_gene	ABCD1	3.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	mitochondrial_semantic_v0.1	weighted_source_sum	contextual_biology_score=2	1e821d4656419369	run_2026_06_23_015533	0.1.0	2026-06-23T01:55:38
mitochondrial_disease	ENSG00000173208	ensembl_gene	ABCD2	3.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	mitochondrial_semantic_v0.1	weighted_source_sum	contextual_biology_score=2	843cbf9f4f24296e	run_2026_06_23_015533	0.1.0	2026-06-23T01:55:38
mitochondrial_disease	ENSG00000117528	ensembl_gene	ABCD3	3.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	mitochondrial_semantic_v0.1	weighted_source_sum	contextual_biology_score=2	8141abb8af89bab3	run_2026_06_23_015533	0.1.0	2026-06-23T01:55:38
mitochondrial_disease	ENSG00000144827	ensembl_gene	ABHD10	3.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	mitochondrial_semantic_v0.1	weighted_source_sum	contextual_biology_score=2	2e3cabcb4988e4ae	run_2026_06_23_015533	0.1.0	2026-06-23T01:55:38
mitochondrial_disease	ENSG00000106077	ensembl_gene	ABHD11	3.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	mitochondrial_semantic_v0.1	weighted_source_sum	contextual_biology_score=2	d54f31479de61c51	run_2026_06_23_015533	0.1.0	2026-06-23T01:55:38
mitochondrial_disease	ENSG00000060971	ensembl_gene	ACAA1	3.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	mitochondrial_semantic_v0.1	weighted_source_sum	contextual_biology_score=2	dea19c6f0b3ca61b	run_2026_06_23_015533	0.1.0	2026-06-23T01:55:38
mitochondrial_disease	ENSG00000167315	ensembl_gene	ACAA2	3.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	mitochondrial_semantic_v0.1	weighted_source_sum	contextual_biology_score=2	069c69a8b73be816	run_2026_06_23_015533	0.1.0	2026-06-23T01:55:38
