phenotype	gene_id	gene_namespace	gene_symbol	source_count	weighted_source_sum	source_list	weight_tier_summary	evidence_semantics_summary	evidence_tier_summary	semantic_channel_summary	mapping_status_summary	targeted_gene_count	small_panel_count	medium_panel_count	large_panel_count	panel_unsized_count	exome_or_genome_count	unknown_scope_count
mitochondrial_disease	ENSG00000115204	ensembl_gene	MPV17	2	5.0	gtr_mitochondrial_gene_summary|mitocarta_human	gold|silver	clinical_utilization|functional_localization	gold|silver	clinical_utilization|contextual_biology	resolved	29.0	24.0	15.0	26.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000198836	ensembl_gene	OPA1	2	5.0	gtr_mitochondrial_gene_summary|mitocarta_human	gold|silver	clinical_utilization|functional_localization	gold|silver	clinical_utilization|contextual_biology	resolved	7.0	9.0	4.0	18.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000140521	ensembl_gene	POLG	2	5.0	gtr_mitochondrial_gene_summary|mitocarta_human	gold|silver	clinical_utilization|functional_localization	gold|silver	clinical_utilization|contextual_biology	resolved	69.0	47.0	27.0	30.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000107815	ensembl_gene	TWNK	2	5.0	gtr_mitochondrial_gene_summary|mitocarta_human	gold|silver	clinical_utilization|functional_localization	gold|silver	clinical_utilization|contextual_biology	resolved	33.0	20.0	17.0	17.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000109576	ensembl_gene	AADAT	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000124608	ensembl_gene	AARS2	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000008311	ensembl_gene	AASS	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000183044	ensembl_gene	ABAT	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000154258	ensembl_gene	ABCA9	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000135776	ensembl_gene	ABCB10	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000115657	ensembl_gene	ABCB6	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mitochondrial_disease	ENSG00000131269	ensembl_gene	ABCB7	1	3.0	mitocarta_human	gold	functional_localization	gold	contextual_biology	adapter_gene_id_resolved	0.0	0.0	0.0	0.0	0.0	0.0	0.0
